Name,URL,red,greenteal,blue,white,black,orangeyellow,purple,bars,stripes,circles,crosses,saltires,quarters,stars,crescents,triangles,contains_image,contains_text
Porto-Novo,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Porto-Novo.svg,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Kinshasa,https://upload.wikimedia.org/wikipedia/commons/a/ad/Kinshasa_Flag.svg,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,2,0,,FALSE,TRUE
Abidjan,https://upload.wikimedia.org/wikipedia/commons/c/c3/Flag_of_Abidjan.png,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Alexandria,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Alexandria.svg,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,TRUE,FALSE
Cairo,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Cairo.svg,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Accra,https://upload.wikimedia.org/wikipedia/commons/4/41/Image2vectord5W%3F%24XCCuv7%2AA99S.svg,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Kumasi,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Kumasi.png,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,FALSE
Bissau,https://upload.wikimedia.org/wikipedia/commons/4/49/Bandeira_Bissau.PNG,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Nairobi,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Nairobi.svg,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,2,2,1,0,0,0,0,0,0,TRUE,FALSE
Maputo,https://upload.wikimedia.org/wikipedia/commons/3/3a/Flag_of_Maputo.png,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Lagos,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Lagos.svg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,0,0,0,0,0,0,0,0,TRUE,FALSE
Durban,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Durban%2C_South_Africa.svg,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,FALSE
Johannesburg,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Johannesburg%2C_South_Africa.svg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,0,0,0,1,0,0,0,0,TRUE,FALSE
Pretoria,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Pretoria%2C_South_Africa.svg,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,0,0,FALSE,FALSE
