Name,URL,red,greenteal,blue,white,black,orangeyellow,purple,bars,stripes,circles,crosses,saltires,quarters,stars,crescents,triangles,contains_image,contains_text
Alabama,https://flagcdn.com/w640/us-al.png,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,FALSE,FALSE
Alaska,https://flagcdn.com/w640/us-ak.png,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,8,0,0,FALSE,FALSE
Arizona,https://flagcdn.com/w640/us-az.png,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,2,0,0,0,0,0,0,0,FALSE,FALSE
Arkansas,https://flagcdn.com/w640/us-ar.png,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,29,0,0,FALSE,TRUE
California,https://flagcdn.com/w640/us-ca.png,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,1,0,0,TRUE,TRUE
Colorado,https://flagcdn.com/w640/us-co.png,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,3,1,0,0,0,0,0,0,FALSE,FALSE
Connecticut,https://flagcdn.com/w640/us-ct.png,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Delaware,https://flagcdn.com/w640/us-de.png,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Florida,https://flagcdn.com/w640/us-fl.png,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,1,0,0,0,0,TRUE,TRUE
Georgia,https://flagcdn.com/w640/us-ga.png,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,3,0,1,1,1,13,0,0,TRUE,TRUE
Hawaii,https://flagcdn.com/w640/us-hi.png,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,8,0,0,0,1,0,0,0,FALSE,FALSE
Idaho,https://flagcdn.com/w640/us-id.png,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Illinois,https://flagcdn.com/w640/us-il.png,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Indiana,https://flagcdn.com/w640/us-in.png,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,18,0,0,TRUE,TRUE
Iowa,https://flagcdn.com/w640/us-ia.png,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3,0,0,0,0,0,0,0,0,TRUE,TRUE
Kansas,https://flagcdn.com/w640/us-ks.png,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,0,1,0,0,0,TRUE,TRUE
Kentucky,https://flagcdn.com/w640/us-ky.png,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Louisiana,https://flagcdn.com/w640/us-la.png,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Maine,https://flagcdn.com/w640/us-me.png,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Maryland,https://flagcdn.com/w640/us-md.png,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,0,0,2,0,4,0,0,0,FALSE,FALSE
Massachusetts,https://flagcdn.com/w640/us-ma.png,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Michigan,https://flagcdn.com/w640/us-mi.png,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Minnesota,https://flagcdn.com/w640/us-mn.png,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,0,0,19,0,0,TRUE,TRUE
Mississippi,https://flagcdn.com/w640/us-ms.png,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,0,0,0,0,0,21,0,0,TRUE,TRUE
Missouri,https://flagcdn.com/w640/us-mo.png,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,3,1,0,0,0,24,0,0,TRUE,TRUE
Montana,https://flagcdn.com/w640/us-mt.png,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Nebraska,https://flagcdn.com/w640/us-ne.png,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Nevada,https://flagcdn.com/w640/us-nv.png,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,1,0,0,TRUE,TRUE
New Hampshire,https://flagcdn.com/w640/us-nh.png,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,11,0,0,TRUE,TRUE
New Jersey,https://flagcdn.com/w640/us-nj.png,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
